track_id,frame,instance_score,x_head,y_head,score_head,x_body,y_body,score_body,x_tail,y_tail,score_tail,filename
0.0,141.0,0.97,14.667423,35.702644,0.97,14.687672,33.583275,0.96,14.655094,31.838112,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,142.0,1.01,14.854092,36.274086,0.98,14.806538,34.17321,0.96,14.51157,32.41661,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,143.0,0.99,14.8690605,36.79975,0.96,14.826794,34.694473,0.98,14.490444,32.95636,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,144.0,1.0,15.148174,37.46453,0.96,14.848804,35.352203,0.98,14.50629,33.62378,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,145.0,0.97,15.331318,38.21296,0.98,15.002895,36.09623,0.96,14.645412,34.344917,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,146.0,0.97,15.347172,38.672577,0.99,15.012577,36.27938,0.96,14.642765,34.534218,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,147.0,1.02,15.855221,38.370575,0.97,14.875225,36.264404,0.94,14.520374,34.505165,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,148.0,0.99,16.240002,38.160133,0.98,14.8717,36.396484,0.94,14.790691,34.641647,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,149.0,1.0,16.984028,37.823776,0.98,15.236225,36.435226,0.95,14.8223915,34.959503,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,150.0,0.99,16.977863,37.802643,0.99,15.266163,36.435226,0.93,14.851444,34.940125,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,151.0,0.99,15.538235,38.51937,1.0,15.246792,36.42994,0.93,14.80566,34.956863,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,152.0,0.96,15.559376,38.294853,0.98,15.226543,36.553215,0.98,14.796856,34.822144,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,153.0,0.98,16.5517,37.29284,0.95,15.197483,36.53032,0.98,14.800381,34.819496,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,154.0,0.97,17.154842,36.026672,0.95,15.348934,36.415848,0.98,14.682392,34.954216,0.95,2024-06-28_11-22-55_td2.tracks.feather
0.0,155.0,0.95,17.698994,35.67975,0.96,15.591953,36.356865,0.97,14.525661,34.970955,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,156.0,0.96,18.373463,35.690315,0.95,15.965282,36.062767,0.96,14.831196,35.029938,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,157.0,0.95,19.19057,35.660385,0.93,16.454845,36.018745,0.94,14.998493,35.331955,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,158.0,0.97,19.57623,35.508934,0.97,17.121387,35.86994,0.94,15.3762245,35.52215,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,159.0,1.0,20.288555,35.646294,0.97,17.794094,35.716736,0.96,16.054218,35.675354,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,160.0,0.94,20.965664,35.72554,1.02,18.498493,35.727303,0.99,16.759502,35.712326,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,161.0,0.97,21.331951,35.690315,1.0,18.856853,35.72554,1.01,17.136356,35.712326,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,162.0,0.95,21.398876,35.41736,0.96,19.283024,35.731705,0.97,17.813457,35.708817,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,163.0,0.95,21.889309,35.187553,0.99,19.770817,35.847046,0.93,18.047672,35.548553,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,164.0,0.94,22.097988,34.868813,0.98,20.266544,35.567924,0.92,18.535473,35.842644,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,165.0,0.95,22.381512,34.86177,0.98,20.608181,35.552963,0.93,18.890316,35.847046,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,166.0,0.96,23.084148,34.649567,0.99,21.05019,35.397995,0.96,19.601765,36.07862,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,167.0,0.95,23.475979,34.176735,1.0,21.377735,35.226288,0.96,19.916103,36.21422,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,168.0,0.96,22.962643,34.621384,0.98,21.48956,35.361008,0.96,19.814846,36.084778,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,169.0,0.96,23.790318,34.270065,0.97,21.772205,35.028175,0.97,20.349308,36.023148,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,170.0,0.98,24.484158,33.629066,0.98,22.433468,34.665405,0.98,21.016735,35.668304,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,171.0,0.99,24.558117,33.72151,0.96,22.805035,34.45585,0.99,21.411198,35.199883,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,172.0,1.0,24.87157,33.54982,0.97,23.174847,34.268303,0.97,22.036358,35.010567,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,173.0,0.96,25.425411,33.215225,0.97,23.706669,33.946045,0.98,22.30051,34.667168,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,174.0,0.94,25.9361,32.90177,0.99,24.192707,33.62642,0.96,22.784786,34.323776,0.98,2024-06-28_11-22-55_td2.tracks.feather
